X,Y,Z,Source
553283.125,4781751.5,1,1
543746.6875,4783412,1,1
533130,4781668.5,1,1
558441.6875,4768202.5,1,1
552046.6875,4784273.5,1,1
558067.625,4776896.5,1,1
560998.3125,4767358.5,1,1
498431.6875,4692176.5,1,3
464045.8125,4732148.5,1,3
532292.625,4730878,1,3
498954.1875,4729401,1,3
506954.9063,4825915.5,1,3
517179.4063,4883047,1,3
479847.6875,4886744.5,1,3
522150.5938,4953480.5,1,3
492639.6875,4957571,1,3
500712.5,4956631.5,1,3
516766.1875,5003779.5,1,3
447290.6875,4720188.5,1,2
459198.8125,4721168.5,1,2
444426.3125,4730730.5,1,2
539380.125,4666307.5,1,2
527913.8125,4674577.5,1,2
516484.8125,4677660,1,2
506719.8125,4695251,1,2
557231.1875,4727138,1,2
560037.125,4726452.5,1,2
523759.4063,4726716,1,2
488408.8125,4947412,1,2
480539.5938,4949923,1,2
478733.1875,4954023.5,1,2
539156.3125,4864293,1,2
555191.1875,4926182,1,2
550835.375,4927226.5,1,2
557850,4927719,1,2
527229.8125,4864273,1,2
535531.375,4863853,1,2
621266.625,4964320.5,1,4
620750.625,4968465,1,4
618453.625,4969160,1,4
560862.375,4758045.5,1,2
563255.6875,4757670,1,2
559216.6875,4765521,1,2
561902.875,4765033,1,2
560409,4769785,1,2
557667.8125,4770906.5,1,2
559754.3125,4772193.5,1,2
617483.6875,4961501,1,4
608115.625,4981621.5,1,4
474118.3125,4880587.5,1,2
457222.5938,4884248,1,2
462638.5938,4885256,1,2
611871.8125,4961119.5,1,4
609590.1875,4998229,1,4
535457.8125,4652586,1,4
494653.3125,4612525.5,1,4
478775.5,4612105.5,1,4
459948.6875,4614884,1,4
459404.9063,4618205,1,4
458143.5,4620638,1,4
430055.5,4758612,1,4
466970,4971512,1,4
468907.8125,4968374,1,4
466836,4968906.5,1,4
457425.3125,4965352,1,4
611990.3125,4997985.5,1,4
491956.5938,4987546.5,1,4
491401.4063,4990650.5,1,4
449971.5938,4976484.5,1,4
445304.5938,4977849.5,1,4
553726,4766119.5,1,1
530701.8125,4764638,1,1
610697.875,4987669.5,1,4
459198.3125,4702836.5,1,2
438984.6875,4699906.5,1,2
433113.5938,4719139,1,4
430718.5938,4797446.5,1,4
447979.5938,4841134.5,1,4
460449.0938,4922584,1,4
619482.1875,4984708.5,1,4
420959.5938,4946763,1,4
493372.6875,4982719,1,4
503875.9063,5020556,1,4
499568.0938,5067899.5,1,4
555695.125,4776573.5,1,2
554929,4783702.5,1,2
553839.5,4785951.5,1,2
548896.6875,4785604.5,1,2
552778.375,4788214,1,2
547224.625,4794367.5,1,2
549486.625,4794949,1,2
481396.9063,5036890,1,4
499740,5065363,1,4
532950.875,5079832,1,4
592027.8125,4976773,1,4
519696.5938,5068775.5,1,4
601883.5,4995563,1,4
516820,5077589.5,1,4
518874,5078668,1,4
565910.6875,4954824,1,4
522329.8125,5074846.5,1,4
554593.125,4916534.5,1,4
495572.8125,5069960,1,4
531103.375,5071324,1,4
532656.8125,5075849.5,1,4
500802.3125,4775428.5,1,3
529848.875,5075578.5,1,4
519705.8125,5053448,1,4
437577,4975915.5,1,4
457349.8125,4993019,1,4
536134.875,5077682,1,4
557805.6875,5081895,1,4
536509.8125,5063270,1,4
536993.8125,5065450,1,4
561427.5,4755105.5,1,4
604409.625,5092805.5,1,4
612855.125,5100244,1,4
544258.875,4862934.5,1,4
536935.875,4870507.5,1,4
666662,5078688,1,4
655047.6875,5089883.5,1,4
540341.875,4851174,1,4
671335,5074055,1,4
544092.5,4802540,1,4
599522,5088605,1,4
562597.5,4730361,1,4
635196.1875,5102422,1,4
670613.8125,5068445.5,1,4
554112.1875,4902313.5,1,4
556069.625,4906895,1,4
640750.8125,5047007.5,1,4
